fibrosis_def,fibrosis_col,fibrosis_status,window,n,deaths,person_years,risk,rate_per_1000py,deaths_ucod1,rate_ucod1_per_1000py,deaths_ucod2,rate_ucod2_per_1000py,deaths_ucod3,rate_ucod3_per_1000py,deaths_ucod4,rate_ucod4_per_1000py,deaths_ucod5,rate_ucod5_per_1000py,deaths_ucod6,rate_ucod6_per_1000py,deaths_ucod7,rate_ucod7_per_1000py,deaths_ucod8,rate_ucod8_per_1000py,deaths_ucod9,rate_ucod9_per_1000py,deaths_ucod10,rate_ucod10_per_1000py,cycle
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_yes,24,172,22,322.2,0.1279,68.3,5,15.5,4,12.4,2,6.2,0,0.0,1,3.1,1,3.1,1,3.1,0,0.0,1,3.1,7,21.7,2007-2008
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_no,24,3982,39,7928.4,0.0098,4.9,3,0.4,15,1.9,3,0.4,1,0.1,4,0.5,0,0.0,1,0.1,0,0.0,2,0.3,10,1.3,2007-2008
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_yes,36,172,31,469.0,0.1802,66.1,8,17.1,5,10.7,2,4.3,0,0.0,1,2.1,1,2.1,1,2.1,0,0.0,2,4.3,11,23.5,2007-2008
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_no,36,3982,56,11861.6,0.0141,4.7,5,0.4,20,1.7,6,0.5,2,0.2,6,0.5,0,0.0,2,0.2,0,0.0,2,0.2,13,1.1,2007-2008
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_yes,24,215,23,406.9,0.107,56.5,8,19.7,5,12.3,1,2.5,4,9.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,12.3,2011-2012
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_no,24,3523,19,7029.8,0.0054,2.7,1,0.1,4,0.6,0,0.0,4,0.6,2,0.3,0,0.0,2,0.3,0,0.0,2,0.3,4,0.6,2011-2012
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_yes,36,215,36,593.1,0.1674,60.7,14,23.6,6,10.1,1,1.7,5,8.4,0,0.0,0,0.0,0,0.0,2,3.4,1,1.7,7,11.8,2011-2012
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_no,36,3523,38,10525.7,0.0108,3.6,6,0.6,11,1.0,0,0.0,5,0.5,3,0.3,0,0.0,2,0.2,0,0.0,2,0.2,9,0.9,2011-2012
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_yes,24,189,26,300.2,0.1376,86.6,7,23.3,7,23.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,40.0,2017-2018
FIB4 (>=2.67 vs <1.30),FIBROSIS_FIB4,fibrosis_no,24,3573,20,6195.7,0.0056,3.2,3,0.5,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.8,2017-2018
LSM (Castera/EASL),FIBROSIS_LSM_Castera_EASL,fibrosis_yes,24,386,18,654.7,0.0466,27.5,4,6.1,8,12.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,9.2,2017-2018
LSM (Castera/EASL),FIBROSIS_LSM_Castera_EASL,fibrosis_no,24,4274,57,7367.8,0.0133,7.7,9,1.2,15,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,4.5,2017-2018
LSM (Eddowes/NAFLD),FIBROSIS_LSM_Eddowes_NAFLD,fibrosis_yes,24,370,17,627.2,0.0459,27.1,3,4.8,8,12.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,9.6,2017-2018
LSM (Eddowes/NAFLD),FIBROSIS_LSM_Eddowes_NAFLD,fibrosis_no,24,4536,61,7807.0,0.0134,7.8,10,1.3,16,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,4.5,2017-2018
